754.7	754.7	130-無法度
756.87	756.87	131-花眉(仔)
760.36	760.36	131-飼花眉仔
762.78	762.78	132-費氣
763.96	763.96	132-有夠費氣
766.41	766.41	132-費氣費觸
768.61	768.61	133-瓷仔
770.02	770.02	133-瓷仔碗
771.82	771.82	133-瓷仔工場
773.94	773.94	134-薰
775.72	775.72	134-食薰
777.59	777.59	134-薰草
779.21	779.21	135-粉鳥
781.17	781.17	135-飼粉鳥
783.05	783.05	135-放粉鳥
784.97	784.97	136-份
786.52	786.52	136-一份
788.14	788.14	136-認份
790.1	790.1	137-伊
791.62	791.62	137-伊佮我
793.69	793.69	137-伊真媠
795.73	795.73	138-椅條
797.99	797.99	138-坐椅條
800.23	800.23	139-奕
802.17	802.17	139-奕牌仔
804.3	804.3	139-奕珠仔
806.21	806.21	140-也
808.31	808.31	140-也是
812.48	812.48	140-也好
814.18	814.18	141-蛾仔
816.14	816.14	141-臭蛾仔
818.06	818.06	141-蛾仔四界飛
820.93	820.93	142-緣投
822.88	822.88	142-緣投囡仔
824.83	824.83	142-人緣投
827.52	827.52	143-胭脂
829.56	829.56	143-點胭脂
831.87	831.87	144-厭氣
833.59	833.59	144-有夠厭氣
835.7	835.7	144-這件代誌予人真厭氣
839.44	839.44	145-芫荽
841.47	841.47	145-蚵仔麵線摻芫荽
844.95	844.95	146-枵
846.77	846.77	146-枵鬼
848.6	848.6	146-枵飽吵
851.09	851.09	147-猶
852.57	852.57	147-猶未
854.36	854.36	147-猶閣
855.96	855.96	148-陰鴆
858.05	858.05	148-個性陰鴆
861.07	861.07	149-亻因
862.86	862.86	149-亻因三個
865.01	865.01	149-亻因某
867.21	867.21	150-往
868.86	868.86	150-往過
870.63	870.63	150-往擺
872.56	872.56	150-往往
874.35	874.35	151-閒
876.19	876.19	151-有閒
878.34	878.34	151-閒工
880.41	880.41	152-臆
881.96	881.96	152-臆著
883.51	883.51	152-臆謎猜
885.8	885.8	153-勇健
888.16	888.16	153-身體真勇健
892.37	892.37	154-猶原
894.74	894.74	154-猶原毋知
897.59	897.59	155-有孝
899.37	899.37	155-有孝序大人
902.11	902.11	155-有孝爸母
904.36	904.36	156-幼秀
905.96	905.96	156-生做真幼秀
908.87	908.87	156-幼秀囡仔
910.76	910.76	157-遮
912.7	912.7	157-遮雨
914.47	914.47	157-遮日
915.99	915.99	158-爪
917.86	917.86	158-跤爪
919.65	919.65	159-抓
921.08	921.08	159-抓破皮
923.15	923.15	159-抓面
924.629408	924.629408	160-撏
926.42	926.42	160-撏錢
928.38	928.38	160-撏出來
930.13	930.13	161-搙
931.7	931.7	161-紙搙做一丸
934.54	934.54	162-入
935.77	935.77	162-入去
937.09	937.09	162-入被
939.0	939.0	162-入教
940.53	940.53	163-日
942.05	942.05	163-日頭
943.82	943.82	163-日子
945.39	945.39	164-日時
947.0	947.0	164-日時作穡
949.47	949.47	164-日時上班
952.44	952.44	165-揉
954.22	954.22	165-揉塗跤
956.17	956.17	165-揉身軀
958.42	958.42	166-鰇魚
960.88	960.88	166-鰇魚羹
962.9	962.9	166-鰇魚捲
964.78	964.78	166-烘鰇魚
965.8110740000001	965.8110740000001	167-愈
967.61	967.61	167-愈來愈濟
970.33	970.33	168-偌
972.12	972.12	168-無偌久
974.42	974.42	168-偌濟
976.43	976.43	168-偌仔(爾)
979.76	979.76	169-熱
981.17	981.17	169-燒熱
983.01	983.01	169-熱人
984.38	984.38	169-歇熱
985.94	985.94	170-挼
987.58	987.58	170-挼目睭
990.06	990.06	170-挼衫
992.15	992.15	171-虼
993.93	993.93	171-虼蚤
995.76	995.76	171-虼蚻
997.33	997.33	172-加
999.1	999.1	172-加強
1000.72	1000.72	172-增加
1002.78	1002.78	173-交懍恂
1005.1	1005.1	173-寒甲起交懍恂
1008.24	1008.24	173-拍交懍恂
1010.79	1010.79	174-家己
1012.82	1012.82	174-家己人
1014.86	1014.86	174-靠家己
1016.96	1016.96	175-鉸刀
1019.42	1019.42	175-鉸刀
1021.22	1021.22	175-鉸刀柄
1023.16	1023.16	176-敢若
1025.41	1025.41	176-伊敢若猶毋知
1028.78	1028.78	176-敢若欲落雨矣
1031.41	1031.41	177-共
1033.2	1033.2	177-共椅仔徙走
1035.65	1035.65	177-共你講
1037.52	1037.52	177-阿英共人洗衫
1040.58	1040.58	177-共伊買
1042.31	1042.31	178-蓋
1043.91	1043.91	178-蓋被
1045.98	1045.98	178-蓋毯仔
1047.98	1047.98	179-佮
1049.42	1049.42	179-我佮你
1051.21	1051.21	179-佮兩支蔥仔
1053.75	1053.75	180-甲
1055.2	1055.2	180-食甲足飽
1057.29	1057.29	180-講甲足投機
1060.25	1060.25	181-佮意
1061.6	1061.6	181-有佮意
1063.19	1063.19	181-無佮意
1064.82	1064.82	182-改
1066.5	1066.5	182-改考卷
1068.72	1068.72	182-改薰
1070.76	1070.76	183-捔
1072.33	1072.33	183-擲討捔
1074.55	1074.55	183-抾捔
1076.26	1076.26	184-甘
1078.09	1078.09	184-糖甘蜜甜
1080.91	1080.91	184-毋甘
1082.69	1082.69	184-甘願
1084.44	1084.44	185-敢
1085.74	1085.74	185-敢講這是真的
1088.22	1088.22	185-你敢欲去
1090.21	1090.21	186-𥴊仔店
1092.26	1092.26	186-去𥴊仔店買豆油
1095.51	1095.51	187-艱苦
1097.76	1097.76	187-心內艱苦
