"編號",建議用字,音讀,又音,對應華語,用例,異用字
458,液,sio̍h,,"(手、腳)汗",手液、臭跤液,,
459,上,siōng,siāng,上、最,上好、上濟,尚,
460,四秀(仔),sì-siù(-á),,零食,食四秀(仔),,
461,失志,sit-tsì,,"喪志、失意、氣餒","毋通失志、伊真失志",,
462,岫,siū,,巢穴,鳥仔岫、賊岫,,
463,受氣,siū-khì,siūnn-khì,生氣、發怒,真受氣,,
464,傷,siunn,sionn,太,傷鹹、傷大,
465,耍,sńg,,玩、遊戲,愛耍、好耍,爽
466,挲,so,,"撫摸、搓、安撫、打圓場",挲草、挲圓仔,搓、搔
467,鎖匙,só-sî,,鑰匙,"拍鎖匙、用鎖匙開門",
468,趖,sô,,"蟲類爬行、動作緩慢","蟲咧趖、四界趖、鼎邊趖",
469,索,soh,,繩子,"跳索仔、搝大索",
470,倯,sông,,"粗俗、不文雅","草地倯、倯閣有力",傖
471,所費,sóo-huì,,"費用、開支、花費","偌濟所費、都市的所費較懸",
472,軀,su,,"身體、計算成套衣服的單位",合軀、一軀衫,
473,思慕,su-bōo,,想念愛慕,"心所思慕的人、共思慕囥佇心肝底",
474,徙,suá,,徙、移,搬徙、徙位,
475,紲,suà,,"連續、接連不斷。","紲落去、相紲、接紲、順紲",續
476,煞,suah,,結束、竟然,"煞戲、煞尾、煞落雨",
477,漩,suān,,撒尿、灑水,漩尿、漩桶,
478,璇石,suān-tsio̍h,,鑽石,璇石手指,
479,散,suànn,,散,散開、分散,
480,欶,suh,soh,吸,"欶管、欶奶、欶水",嗍、𠲿
481,媠,suí,,美麗、漂亮,媠氣、愛媠,美、水
482,隨,suî,,馬上、跟隨,隨來、相隨,
483,隨在,suî-tsāi,,任憑、任由,"隨在你、隨在人",
484,巡,sûn,,"察看、線條、紋路","巡社區、畫一巡、目睭重巡",
485,焦,ta,,乾,喙焦、臭火焦,"乾、凋、礁"
486,大家,ta-ke,tuā-ke,婆婆,頭一擺做大家,乾家
487,大官,ta-kuann,,公公、家翁,阮大官人真好,大倌
488,罩,tà,,罩、蓋,"罩霧、蠓罩、雞罩",
489,呆,tai,,"愚昧、口齒不清","戇大呆、臭奶呆",獃
490,代誌,tāi-tsì,,事、事情,"無代誌、好代誌",事志
491,逐,ta̍k,,每,逐个人、逐擺,
492,澹,tâm,,濕,"澹糊糊、澹漉漉、衫澹去",
493,淡薄(仔),tām-po̍h(-á),,一點點,"啉淡薄、淡薄仔意思",
494,擲,tàn,,扔、擲,擲石頭、擲掉,掞
495,霆,tân,,響,"霆雷公、霆水螺",陳
496,冬,tang,,年、收成季,"過一冬、好年冬、早冬",
497,當時,tang-sî,,何時,"當時開會、佇當時",東時
498,凍霜,tàng-sng,,吝嗇,傷凍霜,
