59,尾蝶(仔)/(尾)蝶仔,bué-ia̍h(-á)/(bué-)ia̍h-á,bér-ia̍h(-á)/bé-ia̍h(-á),蝴蝶,掠尾蝶仔、花園有真濟尾蝶仔,尾蛾(仔)、(美)蝶仔,[sound:minnan700-59-尾蝶(仔)/(尾)蝶仔.mp3],[sound:minnan700-59-掠尾蝶仔.mp3],[sound:minnan700-59-花園有真濟尾蝶仔.mp3],,,,閩南語
60,魩仔魚,but-á-hî,but-á-hîr/but-á-hû,(鯷魚類和沙丁魚類的)魚苗,魩仔魚糜,,[sound:minnan700-60-魩仔魚.mp3],[sound:minnan700-60-魩仔魚糜.mp3],,,,,閩南語
61,的,ê,,的,我的、公家的,个,[sound:minnan700-61-的.mp3],[sound:minnan700-61-我的.mp3],[sound:minnan700-61-公家的.mp3],,,,閩南語
62,个,ê,,個,一个、足濟个,,[sound:minnan700-62-个.mp3],[sound:minnan700-62-一个.mp3],[sound:minnan700-62-足濟个.mp3],,,,閩南語
63,下,ē,e,下(表時間或做詞頭),下晡、下晝、下昏、下暗,,[sound:minnan700-63-下.mp3],[sound:minnan700-63-下晡.mp3],[sound:minnan700-63-下晝.mp3],[sound:minnan700-63-下昏.mp3],[sound:minnan700-63-下暗.mp3],,閩南語
64,下,ē,,下面、一下,下跤、一下,,[sound:minnan700-64-下.mp3],[sound:minnan700-64-下跤.mp3],[sound:minnan700-64-一下.mp3],,,,閩南語
65,會,ē,uē、erē,可以、會,會使、會曉,,[sound:minnan700-65-會.mp3],[sound:minnan700-65-會使.mp3],[sound:minnan700-65-會曉.mp3],,,,閩南語
66,下頦,ē-hâi,ē-huâi,下巴,下頦尖尖、落下頦,,[sound:minnan700-66-下頦.mp3],[sound:minnan700-66-下頦尖尖.mp3],[sound:minnan700-66-落下頦.mp3],,,,閩南語
67,會當,ē-tàng,,可以、能夠,會當去,會凍,[sound:minnan700-67-會當.mp3],[sound:minnan700-67-會當去.mp3],,,,,閩南語
68,狹,eh̍,,窄,巷仔真狹、狹裙,,[sound:minnan700-68-狹.mp3],[sound:minnan700-68-巷仔真狹.mp3],[sound:minnan700-68-狹裙.mp3],,,,閩南語
69,礙虐,gāi-gio̍h,ngāi-gio̍h,彆扭、不舒服,愈想愈礙虐、聽著真礙虐,,[sound:minnan700-69-礙虐.mp3],[sound:minnan700-69-愈想愈礙虐.mp3],[sound:minnan700-69-聽著真礙虐.mp3],,,,閩南語
70,愣,gāng,,失神、發呆,愣去、愣愣,,[sound:minnan700-70-愣.mp3],[sound:minnan700-70-愣去.mp3],[sound:minnan700-70-愣愣.mp3],,,,閩南語
71,𠢕,gâu,,很會、能幹、擅長、常常,𠢕早、假𠢕、𠢕煮食、𠢕破病,賢、爻,[sound:minnan700-71-𠢕.mp3],[sound:minnan700-71-𠢕早.mp3],[sound:minnan700-71-假𠢕.mp3],[sound:minnan700-71-𠢕煮食.mp3],[sound:minnan700-71-𠢕破病.mp3],,閩南語
72,夯,giâ,,扛、發作,夯貨、舊症頭夯起來,,[sound:minnan700-72-夯.mp3],[sound:minnan700-72-夯貨.mp3],[sound:minnan700-72-舊症頭夯起來.mp3],,,,閩南語
73,攑,gia̍h,kia̍h,拿、舉起、豎起,攑箸、攑頭、攑手,揭、舉,[sound:minnan700-73-攑.mp3],[sound:minnan700-73-攑箸.mp3],[sound:minnan700-73-攑頭.mp3],[sound:minnan700-73-攑手.mp3],,,閩南語
74,鋏,giap,,夾,頭毛鋏仔、頭毛鋏予伊好,,[sound:minnan700-74-鋏.mp3],[sound:minnan700-74-頭毛鋏仔.mp3],[sound:minnan700-74-頭毛鋏予伊好.mp3],,,,閩南語
75,挾,gia̍p,,夾住,挾咧,,[sound:minnan700-75-挾.mp3],[sound:minnan700-75-挾咧.mp3],,,,,閩南語
76,扲,gīm,,緊握,扲牢牢,,[sound:minnan700-76-扲.mp3],[sound:minnan700-76-扲牢牢.mp3],,,,,閩南語
77,囡仔,gín-á,,孩子,查某囡仔、囡仔兄,囝仔,[sound:minnan700-77-囡仔.mp3],[sound:minnan700-77-查某囡仔.mp3],[sound:minnan700-77-囡仔兄.mp3],,,,閩南語
78,凝,gîng,,鬱結,心肝足凝、凝心,,[sound:minnan700-78-凝.mp3],[sound:minnan700-78-心肝足凝.mp3],[sound:minnan700-78-凝心.mp3],,,,閩南語
79,戇,gōng,,傻,戇人、戇呆,,[sound:minnan700-79-戇.mp3],[sound:minnan700-79-戇人.mp3],[sound:minnan700-79-戇呆.mp3],,,,閩南語
80,我,guá,,我,是我,,[sound:minnan700-80-我.mp3],[sound:minnan700-80-是我.mp3],,,,,閩南語
81,外,guā,,外、娘家的,外口、外家,,[sound:minnan700-81-外.mp3],[sound:minnan700-81-外口.mp3],[sound:minnan700-81-外家.mp3],,,,閩南語
82,外,guā,,多、餘,十外歲、百外个,,[sound:minnan700-82-外.mp3],[sound:minnan700-82-十外歲.mp3],[sound:minnan700-82-百外个.mp3],,,,閩南語
83,阮,guán,gún,我們、我的,阮的、阮兜,,[sound:minnan700-83-阮.mp3],[sound:minnan700-83-阮的.mp3],[sound:minnan700-83-阮兜.mp3],,,,閩南語
84,外,guē,,外,外甥、員外,,[sound:minnan700-84-外.mp3],[sound:minnan700-84-外甥.mp3],[sound:minnan700-84-員外.mp3],,,,閩南語
85,月娘,gueh̍-niû,geh̍-niû/ger̍h-niû,月亮,月娘笑阮戇大呆、日頭佮月娘,,[sound:minnan700-85-月娘.mp3],[sound:minnan700-85-月娘笑阮戇大呆.mp3],[sound:minnan700-85-日頭佮月娘.mp3],,,,閩南語
86,縖,hâ,,繫、圍,縖褲帶、縖裙,,[sound:minnan700-86-縖.mp3],[sound:minnan700-86-縖褲帶.mp3],[sound:minnan700-86-縖裙.mp3],,,,閩南語
87,箬,ha̍h,,外殼、外皮,竹箬、甘蔗箬,笚,[sound:minnan700-87-箬.mp3],[sound:minnan700-87-竹箬.mp3],[sound:minnan700-87-甘蔗箬.mp3],,,,閩南語
88,合,ha̍h,,契合、適合,個性會合、合軀,,[sound:minnan700-88-合.mp3],[sound:minnan700-88-個性會合.mp3],[sound:minnan700-88-合軀.mp3],,,,閩南語
89,海海,hái-hái,,看開些、不計較、不過如此,人生海海,,[sound:minnan700-89-海海.mp3],[sound:minnan700-89-人生海海.mp3],,,,,閩南語
90,海湧,hái-íng,,海浪,海湧真大,,[sound:minnan700-90-海湧.mp3],[sound:minnan700-90-海湧真大.mp3],,,,,閩南語
91,蚶仔,ham-á,,文蛤,蚶仔湯足清甜,,[sound:minnan700-91-蚶仔.mp3],[sound:minnan700-91-蚶仔湯足清甜.mp3],,,,,閩南語
